## station	easting	northing
ADN2	172728.0452433608	4099352.85368479
AKLE	495373.5951286451	4062703.764717306
ANTP	355407.23743486934	4103320.1697325236
DRAG	157615.74524273642	3500998.4894736507
EKZ1	340960.4382758675	4213823.743261421
FEEK	228196.00239804026	4189793.121155061
KATZ	190574.74751118175	3655605.225006144
KLS1	332419.3553749311	4064631.592099743
KROM	198774.735230315	3676047.8291750657
MRAV	163568.3867944759	3595947.0419672118
NZRT	156358.45637229359	3633137.0569514683
TMAR	153432.86986263434	3452128.140565014
TUF1	255751.76665929242	4238404.912918081
